spring index[0], 0.099929 0.096867 0.091545 0.096052 0.077695 0.059051
spring index[1], 0.065938 0.091621 0.098567 0.074032 0.103369 0.067845
spring index[2], 0.071952 0.077773 0.044121 0.094008 0.096687 0.077646
spring index[3], 0.024885 0.070518 0.073474 0.044718 0.041363 0.081438
spring index[4], 0.051802 0.045109 0.066676 0.062797 0.068434 0.096508
spring index[5], 0.036830 0.026688 0.045483 0.051920 0.024885 0.036490
spring index[6], 0.101867 0.080841 0.074446 0.063556 0.063556 0.071525
spring index[7], 0.051747 0.057263 0.054012 0.083324 0.062749 0.076385
spring index[8], 0.052380 0.095952 0.069720 0.098475 0.067805 0.097667
spring index[9], 0.068121 0.051862 0.049643 0.075660 0.049780 0.077773
spring index[10], 0.085959 0.076077 0.091071 0.080604 0.078118 0.099577
spring index[11], 0.041665 0.113784 0.095397 0.092413 0.101296 0.062638
spring index[12], 0.104197 0.081712 0.104203 0.098577 0.050028 0.062979
spring index[13], 0.123653 0.125343 0.087732 0.072489 0.111866 0.072489
spring index[14], 0.035660 0.065195 0.054297 0.050424 0.070652 0.074004
spring index[15], 0.038698 0.047009 0.026688 0.048526 0.047867 0.055381
spring index[16], 0.063215 0.043711 0.043711 0.084232 0.074723 0.067845
spring index[17], 0.024885 0.053243 0.062140 0.041529 0.051928 0.077810
spring index[18], 0.047547 0.100496 0.110002 0.091580 0.087821 0.089837
spring index[19], 0.107536 0.072321 0.093381 0.084424 0.083630 0.116970
spring index[20], 0.107139 0.069060 0.101686 0.104018 0.068757 0.100943
spring index[21], 0.102021 0.094735 0.072220 0.094598 0.072699 0.078552
spring index[22], 0.078283 0.062130 0.062130 0.091393 0.066051 0.068711
spring index[23], 0.097955 0.065845 0.067982 0.094109 0.060884 0.071814
spring index[24], 0.078685 0.097284 0.057798 0.054664 0.046053 0.084577
spring index[25], 0.078023 0.045650 0.058816 0.046018 0.090208 0.071957
spring index[26], 0.078842 0.065221 0.060719 0.059051 0.059051 0.061933
spring index[27], 0.067488 0.048242 0.080443 0.060967 0.078395 0.076094
spring index[28], 0.042371 0.088458 0.078981 0.079132 0.064675 0.075587
spring index[29], 0.047683 0.046432 0.064785 0.075834 0.093686 0.084224
